Company , Domain , SecurityGateway , MailGateway , MX
Hartford Financial Services Group , thehartford ,  , own-domain , hfdmailin04.thehartford.com
Kraft Heinz , kraftheinzcompany ,  , Office 365 , kraftheinzcompany-com.mail.protection.outlook.com
Kraft Heinz , kraft ,  , Office 365 , kraft-com.mail.protection.outlook.com
Kraft Heinz , heinz ,  , Office 365 , heinz-com.mail.protection.outlook.com
Lear , lear ,  , Office 365 , lear-com.mail.protection.outlook.com
Fluor , fluor ,  , own-domain , avsiipa006.fluor.com
AECOM , aecom , MessageLabs , unknown , cluster5.us.messagelabs.com
Facebook , facebook ,  , own-domain , msgin.vvv.facebook.com
Jabil Circuit , jabil ,  , Office 365 , jabil-com.mail.protection.outlook.com
CenturyLink , centurylink ,  , own-domain , lxomp51w.centurylink.com
Supervalu , supervalu ,  , Office 365 , supervaluinc.mail.protection.outlook.com
General Mills , genmills ,  , own-domain , smtp3a.genmills.com
Southern , southerncompany , ProofPoint , unknown , mxb-00113601.gslb.pphosted.com
NextEra Energy , nexteraenergy ,  , Office 365 , nexteraenergy-com.mail.protection.outlook.com
Thermo Fisher Scientific , thermofisher , ProofPoint , unknown , mxb-002a2102.gslb.pphosted.com
American Electric Power , aep ,  , own-domain , gateways1.aep.com
PG&E Corp. , pge ,  , own-domain , itemlmtadmz03-out.pge.com
NGL Energy Partners , nglep ,  , own-domain , mail1.nglep.com
Bristol-Myers Squibb , bms ,  , Office 365 , bms-com.mail.protection.outlook.com
Goodyear Tire & Rubber , goodyear ,  , Office 365 , goodyear-com.mail.protection.outlook.com
Nucor , nucor , ProofPoint , unknown , mxa-0022e501.gslb.pphosted.com
PNC Financial Services Group , pnc , MessageLabs , unknown , cluster5.us.messagelabs.com
Health Net , healthnet ,  , own-domain , mailgate03.healthnet.com
Micron Technology , micron ,  , own-domain , mailhost3.micron.com
Colgate-Palmolive , colgatepalmolive ,  ,  , mx.zoho.com
Freeport-McMoRan , fmi ,  , Office 365 , fmi-com.mail.protection.outlook.com
ConAgra Foods , conagrafoods , Cisco , unknown , mx1.conagrafoods.iphmx.com
Gap , gapinc ,  , Office 365 , gapinc-com.mail.protection.outlook.com
Baker Hughes , bakerhughes ,  ,  , msghouasg01.bhi-net.com
Bank of New York Mellon Corp. , bnymellon , MessageLabs , unknown , cluster9bny.us.messagelabs.com
Dollar Tree , dollartree , ProofPoint , unknown , mxb-00183e01.gslb.pphosted.com
Whole Foods Market , wholefoodsmarket ,  ,  , smtp4.wholefoods.com
PPG Industries , ppg , ProofPoint , unknown , mxb-00189b02.gslb.pphosted.com
Genuine Parts , genpt , MessageLabs , unknown , cluster5.us.messagelabs.com
Icahn Enterprises , ielp , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Performance Food Group , pfgc ,  , Office 365 , pfgc-com.mail.protection.outlook.com
Omnicom Group , omnicomgroup ,  ,  , pp-inbound-2.cdscore.com
DISH Network , dish ,  , own-domain , mailin.dish.com
FirstEnergy , firstenergycorp ,  , own-domain , aesa02.firstenergycorp.com
Monsanto , monsanto , Forcepoint , unknown , cust42593-1-in.mailcontrol.com
AES , aes , MessageLabs , unknown , cluster1.us.messagelabs.com
CarMax , carmax , ProofPoint , unknown , mxa-001ffb01.gslb.pphosted.com
National Oilwell Varco , nov , ProofPoint , unknown , mxa-001b7901.gslb.pphosted.com
NRG Energy , nrgenergy ,  , Office 365 , nrg-com.mail.protection.outlook.com
Western Digital , wdc , Cisco , unknown , mx2.hgst.iphmx.com
Marriott International , marriott ,  , own-domain , mail.marriott.com
Office Depot , officedepot ,  , Office 365 , officedepot-com.mail.protection.outlook.com
Nordstrom , nordstrom , Cisco , unknown , mx2.nordstrom.iphmx.com
Kinder Morgan , kindermorgan , Cisco , unknown , mx1.kindermorgan.iphmx.com
Aramark , aramark , MessageLabs , unknown , cluster1.us.messagelabs.com
DaVita HealthCare Partners , davita , Cisco , unknown , mx1.davita.iphmx.com
Molina Healthcare , molinahealthcare ,  , own-domain , ironport1.molinahealthcare.com
WellCare Health Plans , wellcare ,  , own-domain , mailfilter2.wellcare.com
CBS , cbs , ProofPoint , unknown , mxb-00262c01.gslb.pphosted.com
Visa , visa ,  , own-domain , portal4i.visa.com
Lincoln National , lfg ,  , own-domain , in3pamta01.lfg.com
Ecolab , ecolab , ProofPoint , unknown , mxa-00073f02.gslb.pphosted.com
Kellogg , kellogg , ProofPoint , unknown , mxb-0029fa01.gslb.pphosted.com
C.H. Robinson Worldwide , chrobinson ,  , own-domain , mailgw5.chrobinson.com
Textron , textron ,  , Office 365 , textron-com.mail.protection.outlook.com
Loews , loews , ProofPoint , unknown , mxa-001d4001.gslb.pphosted.com
Illinois Tool Works , itw ,  , Office 365 , itw-com.mail.protection.outlook.com
Synnex , synnex ,  , own-domain , smtp4.synnex.com
Viacom , viacom ,  , own-domain , mail.viacom.com
HollyFrontier , hollyfrontier ,  , own-domain , mx1.hollyfrontier.com
Land O’Lakes , landolakesinc ,  , own-domain , schoollunch.landolakesinc.com
Land O’Lakes , landolakes ,  , Office 365 , landolakes-com.mail.protection.outlook.com
Devon Energy , dvn , ProofPoint , unknown , mxb-00116402.gslb.pphosted.com
PBF Energy , pbfenergy , MessageLabs , unknown , cluster5.us.messagelabs.com
Yum Brands , yum , Trend Micro , unknown , in.hes.trendmicro.com
Texas Instruments , ti , MessageLabs , unknown , cluster5.us.messagelabs.com
CDW , cdw , ProofPoint , unknown , mxb-00220401.gslb.pphosted.com
Waste Management , wm ,  , own-domain , mail2.wm.com
Marsh & McLennan , marsh ,  , own-domain , mx13.marsh.com
Chesapeake Energy , chk , ProofPoint , unknown , mxa-0017eb01.gslb.pphosted.com
Parker-Hannifin , parker , ProofPoint , unknown , mxa-002a1601.gslb.pphosted.com
Occidental Petroleum , oxy ,  , own-domain , hou-mx-02.oxy.com
Guardian Life Ins. Co. of America , guardianlife , ProofPoint , unknown , mx0a-00220101.pphosted.com
Farmers Insurance Exchange , farmers , ProofPoint , unknown , mxb-0028ab01.gslb.pphosted.com
J.C. Penney , jcpenney ,  , Office 365 , jcpenney-com.mail.protection.outlook.com
Consolidated Edison , coned ,  , own-domain , xff-esg2-4.coned.com
Cognizant Technology Solutions , cognizant ,  , Office 365 , cognizant-com.mail.protection.outlook.com
VF , vfc , ProofPoint , unknown , mxa-00127801.gslb.pphosted.com
Ameriprise Financial , ampf ,  , own-domain , ipgw1.ampf.com
Computer Sciences , csc , MessageLabs , unknown , cluster4.us.messagelabs.com
L Brands , lb , ProofPoint , own-domain , mxa-00204f01.gslb.pphosted.com
Jacobs Engineering Group , jacobs , ProofPoint , unknown , mxb-0025cf01.gslb.pphosted.com
Principal Financial , principal ,  , own-domain , mx4.principal.com
Ross Stores , rossstores ,  , own-domain , rossstores.com
Bed Bath & Beyond , bedbathandbeyond ,  ,  , mail-router.e-dialog.com
CSX , csx ,  , own-domain , mail8.csx.com
Toys “R” Us , toysrus , ProofPoint , unknown , mxb-00218101.gslb.pphosted.com
Las Vegas Sands , sands , MessageLabs , unknown , cluster5.us.messagelabs.com
Leucadia National , leucadia , ProofPoint , unknown , mx0a-001c3e01.pphosted.com
Dominion Resources , dom ,  , own-domain , innm01.dom.com
United States Steel , uss , ProofPoint , unknown , mxa-00264f01.gslb.pphosted.com
L-3 Communications , l-3com ,  , own-domain , smtp7in.l-3com.com
Edison International , edisonintl ,  ,  , zi1lxmta01.sce.com
Entergy , entergy ,  , own-domain , symmail4.roc.entergy.com
ADP , adp ,  , own-domain , mail1.adp.com
First Data , firstdata ,  , own-domain , x3ppir013.firstdata.com
BlackRock , blackrock , ProofPoint , unknown , mxb-00162b01.gslb.pphosted.com
WestRock , westrock ,  , Office 365 , westrock-com.mail.protection.outlook.com
Voya Financial , voya ,  , Office 365 , voya-com.mail.protection.outlook.com
Sherwin-Williams , sherwin ,  , own-domain , emhost55.sherwin.com
Hilton Worldwide Holdings , hilton , Cisco , unknown , mx2.hilton.iphmx.com
R.R. Donnelley & Sons , rrdonnelley ,  , Google , aspmx.l.google.com
Stanley Black & Decker , stanleyblackanddecker , ProofPoint , unknown , mxa-00254701.gslb.pphosted.com
Stanley Black & Decker , stanley , ProofPoint , unknown , mxa-00254701.gslb.pphosted.com
Xcel Energy , xcelenergy ,  , own-domain , esa.wip.xcelenergy.com
Murphy USA , murphyusa ,  , Office 365 , murphyusa-com.mail.protection.outlook.com
CBRE Group , cbre , ProofPoint , unknown , mxa-001bfb01.gslb.pphosted.com
D.R. Horton , drhorton ,  , own-domain , prpt.drhorton.com
Estee Lauder , elcompanies , ProofPoint , unknown , mxb-001a2001.gslb.pphosted.com
Estee Lauder , esteelauder , ProofPoint , unknown , mxb-001a2001.gslb.pphosted.com
Praxair , praxair ,  , own-domain , mx6.praxair.com
Biogen , biogen , ProofPoint , unknown , mx0b-00209801.pphosted.com
State Street Corp. , statestreet , MessageLabs , unknown , cluster5.us.messagelabs.com
Unum Group , unum , MessageLabs , unknown , cluster9.us.messagelabs.com
Reynolds American , reynoldsamerican , MessageLabs , unknown , cluster5.us.messagelabs.com
Group 1 Automotive , group1auto ,  , own-domain , gpimx2.group1auto.com
Henry Schein , henryschein , ProofPoint , unknown , mxa-001d3a01.gslb.pphosted.com
Hertz Global Holdings , hertz , ProofPoint , unknown , mxa-00034201.gslb.pphosted.com
Norfolk Southern , nscorp ,  , own-domain , mail2.nscorp.com
Reinsurance Group of America , rgare , ProofPoint , unknown , mxa-00068801.gslb.pphosted.com
Public Service Enterprise Group , pseg ,  , own-domain , smtp2.pseg.com
BB&T Corp. , bbt ,  ,  , mail1.bbandt.com
DTE Energy , dteenergy , MessageLabs , unknown , cluster8.us.messagelabs.com
Assurant , assurant ,  ,  , msp0lppp001.etdbw.com
Global Partners , globalp , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Huntsman , huntsman , ProofPoint , unknown , mx0b-000afc01.pphosted.com
Becton Dickinson , bd , ProofPoint , unknown , mxa-0017d901.gslb.pphosted.com
Sempra Energy , sempra ,  , own-domain , pps2.sempra.com
AutoZone , autozone ,  , Office 365 , autozone-com.mail.protection.outlook.com
Navistar International , navistar ,  , Office 365 , navistar-com.mail.protection.outlook.com
Precision Castparts , precast ,  , own-domain , precast.pcc-structurals.com
Discover Financial Services , discoverfinancial , ProofPoint , unknown , mxb-001d7a03.gslb.pphosted.com
Liberty Interactive , libertyinteractive ,  , GoDaddy , smtp.secureserver.net
W.W. Grainger , grainger ,  , Office 365 , grainger-com.mail.protection.outlook.com
Baxter International , baxter ,  , own-domain , mailco.baxter.com
Stryker , stryker ,  , Office 365 , stryker-com.mail.protection.outlook.com
Air Products & Chemicals , airproducts ,  , Office 365 , airproducts-com.mail.protection.outlook.com
Western Refining , wnr , ProofPoint , unknown , mxb-0018ff01.gslb.pphosted.com
Universal Health Services , uhsinc ,  , own-domain , mic.uhsinc.com
Owens & Minor , owens-minor ,  , Office 365 , owensminor-com01c.mail.protection.outlook.com
Charter Communications , charter ,  , own-domain , mail.chartercom.com
Advance Auto Parts , advanceautoparts , ProofPoint , unknown , mxb-0013d101.gslb.pphosted.com
MasterCard , mastercard , ProofPoint , unknown , mxb-00078002.gslb.pphosted.com
Applied Materials , appliedmaterials ,  , own-domain , mx.appliedmaterials.com
Eastman Chemical , eastman ,  , Office 365 , eastman-com.mail.protection.outlook.com
Sonic Automotive , sonicautomotive , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Ally Financial , ally ,  , own-domain , mx01.ally.com
CST Brands , cstbrands , MessageLabs , unknown , cluster9.us.messagelabs.com
eBay , ebay ,  , own-domain , data.ebay.com
Lennar , lennar , ProofPoint , unknown , mxa-001afc01.gslb.pphosted.com
GameStop , gamestop ,  , own-domain , mail1.gamestop.com
Reliance Steel & Aluminum , rsac , Cisco , unknown , mx1.rsac.iphmx.com
Hormel Foods , hormel , ProofPoint , unknown , mxa-00103401.gslb.pphosted.com
Celgene , celgene , ProofPoint , unknown , mxb-00183501.gslb.pphosted.com
Genworth Financial , genworth , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
PayPal Holdings , paypal ,  , own-domain , mx2.paypalcorp.com
Priceline Group , pricelinegroup ,  , Google , ASPMX.L.GOOGLE.com
MGM Resorts International , mgmresorts ,  , own-domain , inbound1.s4.mgmresorts.com
Autoliv , autoliv , Cisco , unknown , mx1.autoliv.c3s2.iphmx.com
Fidelity National Financial , fnf ,  , Office 365 , fnf-com.mail.protection.outlook.com
Republic Services , republicservices , ProofPoint , unknown , mxa-0021b301.gslb.pphosted.com
Corning , corning , MessageLabs , unknown , cluster6.us.messagelabs.com
Peter Kiewit Sons’ , kiewit , Cisco , unknown , mx1.kiewit.iphmx.com
Univar , univar ,  , Office 365 , univar-com.mail.protection.outlook.com
Mosaic , mosaicco ,  , Office 365 , mosaicco-com.mail.protection.outlook.com
Core-Mark Holding , core-mark , Trend Micro , unknown , in-mig04.hes.trendmicro.com
Thrivent Financial for Lutherans , thrivent ,  , own-domain , irnprt002.thrivent.com
