Company , Domain , SecurityGateway , Mail Domain , MX
Enel , enel , ProofPoint , unknown , mxb-0023ba01.gslb.pphosted.com
PTT , pttplc ,  , own-domain , mailcleaner1.pttplc.com
OMV Group , omv ,  , own-domain , edge2.omv.com
Power Corp. of Canada , powercorporation ,  , own-domain , smtp1.powercorporation.com
Reliance Industries , rcomco ,  ,  , 
AntarChile , antarchile ,  , Office365 , antarchile-cl.mail.protection.outlook.com
Repsol , repsol ,  , own-domain , smtpca2.repsol.com
Statoil , statoil ,  , Office365 , statoil-com.mail.protection.outlook.com
BHP Billiton , bhp , ProofPoint , unknown , mxb-00242401.gslb.pphosted.com
CEFC China Energy , cefc ,  ,  , qiye163mx01.mxmail.netease.com
PKN ORLEN Group , orlen ,  ,  , mx1.orlen.pl
Munich Re , munichre , ProofPoint , unknown , mx08-002b1401.pphosted.com
DirecTV , directv , ProofPoint , unknown , mx0a-00191d01.pphosted.com
Talanx , talanx ,  ,  , mx10.htp-mailer.de
Tewoo Group , tewoo ,  ,  , mxwcom.263xmail.com
Amer International Group , amercom ,  ,  , mail.amer.com.cn
Achmea , achmea ,  ,  , smtpgate-nl2.achmea.nl
CPC , cpc ,  , Office365 , cpc-com.mail.protection.outlook.com
Medipal Holdings , medipal ,  ,  , mx1c40.carrierzone.com
Aegon , aegon , ProofPoint , unknown , mxa-00099f01.gslb.pphosted.com
Ultrapar Holdings , ultrapar ,  , Google , ASPMX.L.GOOGLE.com
Bharat Petroleum , bharatpetroleum ,  , own-domain , comessenger2.bharatpetroleum.com
Unipol , unipol ,  ,  , smtp7.gr-u.it
Twenty-First Century Fox , fox , ProofPoint , unknown , mxa-00195501.gslb.pphosted.com
Ingram Micro , ingram , ProofPoint , unknown , mxa-0022c701.gslb.pphosted.com
AIA Group , aia , ProofPoint , unknown , mx08-002b4701.pphosted.com
Ecopetrol , ecopetrol ,  ,  , mail.messaging.microsoft.com
SSE , sse , ProofPoint , unknown , mx07-002adc01.pphosted.com
Idemitsu Kosan , idemitsu ,  ,  , mx.securemx.jp
Cosmo Oil , cosmo-oilco , ProofPoint , unknown , mxa-00266001.gslb.pphosted.com
Trafigura Beheer , trafigura ,  ,  , mail10.smtpdaemon.net
CNP Assurances , cnp ,  ,  , mx2-us1.ppe-hosted.com
TonenGeneral Sekiyu , jxtg-groupco ,  , Office365 , jxtggroup-co-jp01b.mail.protection.outlook.com
S-Oil , s-oil ,  , own-domain , spam.s-oil.com
Noble Group , thisisnoble ,  , Office365 , thisisnoble-com.mail.protection.outlook.com
Metro , metro , Trend Micro , unknown , in.hes.trendmicro.com
GasTerra , gasterra ,  ,  , smtpscan-nl1.gasterra.nl
