Company , Domain , SecurityGateway , Mail Domain , MX
Fortune Brands , fortunebrands.com , ProofPoint , unknown , mxa-001a1201.gslb.pphosted.com
USA Networks , usanetwork.com , ProofPoint , unknown , mxa-00176a04.gslb.pphosted.com
BJ's Wholesale Club , bjs.com , ProofPoint , unknown , Mxa-00185201.gslb.pphosted.com
Ikon Office Solutions , ricoh-usa.com , ProofPoint , unknown , mxa-00145802.gslb.pphosted.com
Tribune , tribune.com ,  , Office365 , tribmedia.mail.protection.outlook.com
TransMontaigne , transmontaigne.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Engelhard , engelhard.com ,  , Office365 , basf.mail.protection.outlook.com
Goodrich , bfgoodrich.com , MessageLabs , unknown , cluster1.eu.messagelabs.com
CNF , cnf.com , ProofPoint , unknown , mx0b-002b6701.pphosted.com
Adams Resources & Energy , adamsresources.com ,  , own-domain , mail.adamsresources.com
Pitney Bowes , pitneybowes.com ,  , Office365 , pitneybowes-com.mail.protection.outlook.com
Dole Food , dole.com ,  , Office365 , dolefoods.mail.protection.outlook.com
ITT Industries , itt.com ,  , own-domain , ussfa1cip-c1.ittcorp.com
KB Home , kbhome.com , ProofPoint , unknown , mxa-00141101.gslb.pphosted.com
McGraw-Hill , mheducation.com ,  , Office365 , mheducation-com.mail.protection.outlook.com
OfficeMax , officemax.com ,  , Office365 , officemax-com.mail.protection.outlook.com
Park Place Entertainment , parkplace.com , Barracuda , unknown , d29197a.ess.barracudanetworks.com
Sierra Pacific Resources , sierrapacific.com ,  ,  , mail.sppc.com
Maytag , maytag.com ,  , Google , ASPMX.L.GOOGLE.com
Pinnacle West Capital , pinnaclewest.com , Cisco , unknown , mx2.aps.iphmx.com
Murphy Oil , murphyoilcorp.com ,  , Office365 , murphyoilcorp-com.mail.protection.outlook.com
Quantum , quantum.com ,  , Office365 , quantum-com.mail.protection.outlook.com
Oxford Health Plans , oxfordhealth.com ,  ,  , mail20.corpmailsvcs.com
Healthsouth , healthsouth.com ,  , own-domain , hpp3.healthsouth.com
Administaff , administaff.com ,  , Office365 , administaff-com.mail.protection.outlook.com
Black & Decker , bdk.com , ProofPoint , unknown , mxb-00254701.gslb.pphosted.com
Golden State Bancorp , goldenstate.com , Cyren Web Security , unknown , p.webcom.ctmail.com
Longs Drug Stores , longs.com , MarkMonitor , unknown , bh.markmonitor.com
Levi Strauss , levistrauss.com ,  , Office365 , levistrauss-com.mail.protection.outlook.com
NorthWestern , northwestern.com , ProofPoint , unknown , mxa-00194201.gslb.pphosted.com
Cooper Industries , cooperindustries.com ,  ,  , mail.eaton.com
Computer Associates Intl. , ca.com , ProofPoint , unknown , mxb-001c7801.gslb.pphosted.com
Comerica , comerica.com , ProofPoint , unknown , mx0a-00143801.pphosted.com
Temple-Inland , temple-inland.com ,  ,  , mail.h-email.net
Lexmark International , lexmark.com ,  , Google , aspmx.l.google.com
SPX , spx.com , ProofPoint , unknown , mxb-0023ed01.gslb.pphosted.com
Leggett & Platt , leggett.com , ProofPoint , unknown , mxa-0003de01.gslb.pphosted.com
Nash Finch , nashfinch.com , ProofPoint , unknown , mxa-00183101.gslb.pphosted.com
Jones Apparel Group , jny.com ,  , GoDaddy , smtp.secureserver.net
Cox Communications , cox.com , ProofPoint , unknown , mxa-002b3901.gslb.pphosted.com
Mellon Financial Corp. , mellon.com , MessageLabs , unknown , cluster9bny.us.messagelabs.com
