385,Expedia,expedia.com
386,salesforce.com,salesforce.com
387,Targa Resources,targaresources.com
388,Apache,apachecorp.com
389,Spirit AeroSystems Holdings,spiritaero.com
390,Expeditors International of Washington,expeditors.com
391,Anixter International,anixter.com
392,Fidelity National Information Services,fisglobal.com
393,Asbury Automotive Group,asburyauto.com
394,Hess,hess.com
395,Ryder System,ryder.com
396,Terex,terex.com
397,Coca-Cola European Partners,cokecce.com
398,Auto-Owners Insurance,aoins.com
399,Cablevision Systems,cablevision.com
400,Symantec,symantec.com
401,Charles Schwab,aboutschwab.com
402,Calpine,calpine.com
403,CMS Energy,cmsenergy.com
404,Alliance Data Systems,alliancedata.com
405,JetBlue Airways,jetblue.com
406,Discovery Communications,discoverycommunications.com
407,Trinity Industries,trin.net
408,Sanmina,sanmina.com
409,NCR,ncr.com
410,FMC Technologies,fmctechnologies.com
411,Erie Insurance Group,erieinsurance.com
412,Rockwell Automation,rockwellautomation.com
413,Dr Pepper Snapple Group,drpeppersnapplegroup.com
,Dr Pepper Snapple Group,snapple.com
,Dr Pepper Snapple Group,drpepper.com
414,iHeartMedia,iheartmedia.com
415,Tractor Supply,tractorsupply.com
416,J.B. Hunt Transport Services,jbhunt.com
417,Commercial Metals,cmc.com
418,Owens-Illinois,o-i.com
419,Harman International Industries,harman.com
420,Baxalta,baxalta.com
421,American Financial Group,amfin.com
422,NetApp,amfin.com
423,Graybar Electric,graybar.com
424,Oshkosh,oshkoshcorp.com
425,Ameren,ameren.com
426,A-Mark Precious Metals,amark.com
427,Barnes & Noble,barnesandnobleinc.com
,Barnes & Noble,bn.com
428,Dana Holding,dana.com
429,Constellation Brands,cbrands.com
430,LifePoint Health,lifepointhealth.net
431,Zimmer Biomet Holdings,zimmerbiomet.com
432,Harley-Davidson,harley-davidson.com
433,PulteGroup,pultegroupinc.com
,PulteGroup,pulte.com
434,Newell Brands,newellbrands.com
435,Avery Dennison,averydennison.com
436,Jones Lang LaSalle,jll.com
437,WEC Energy Group,wecenergygroup.com
438,Marathon Oil,marathonoil.com
439,TravelCenters of America,tatravelcenters.com
440,United Rentals,ur.com
441,HRG Group,hrggroup.com
442,Old Republic International,oldrepublic.com
443,Windstream Holdings,windstream.com
444,Starwood Hotels & Resorts,starwoodhotels.com
445,Delek US Holdings,delekus.com
446,Packaging Corp. of America,packagingcorp.com
447,Quintiles Transnational Holdings,quintiles.com
448,Hanesbrands,hanes.com
449,Realogy Holdings,realogy.com
450,Mattel,mattel.com
451,Motorola Solutions,motorolasolutions.com
,Motorola Solutions,motorola.com
452,J.M. Smucker,jmsmucker.com
,J.M. Smucker,smuckers.com
453,Regions Financial,regions.com
453,Celanese,celanese.com
455,Clorox,clorox.com
456,Ingredion,ingredion.com
457,Genesis Healthcare,genesishcc.com
458,Peabody Energy,peabodyenergy.com
459,Alaska Air Group,alaskaair.com
460,Seaboard,seaboardcorp.com
461,Frontier Communications,frontier.com
462,Amphenol,amphenol.com
463,Lansing Trade Group,lansingtradegroup.com
464,SanDisk,sandisk.com
465,St. Jude Medical,sjm.com
466,Wyndham Worldwide,wyndhamworldwide.com
467,Kelly Services,kellyservices.com
468,Western Union,westernunion.com
469,Envision Healthcare Holdings,evhc.net
470,Visteon,visteon.com
471,Arthur J. Gallagher,ajg.com
472,Host Hotels & Resorts,hosthotels.com
472,Ashland,ashland.com
474,Insight Enterprises,insight.com
475,Energy Future Holdings,energyfutureholdings.com
476,Markel,markelcorp.com
477,Essendant,essendant.com
478,CH2M Hill,ch2m.com
479,Western & Southern Financial Group,westernsouthern.com
480,Owens Corning,owenscorning.com
481,S&P Global,spglobal.com
482,Raymond James Financial,raymondjames.com
483,NiSource,nisource.com
484,Airgas,airgas.com
485,ABM Industries,abm.com
486,Citizens Financial Group,citizensbank.com
487,Booz Allen Hamilton Holding,bah.com
488,Simon Property Group,simon.com
489,Domtar,domtar.com
490,Rockwell Collins,rockwellcollins.com
491,Lam Research,lamresearch.com
492,Fiserv,fiserv.com
493,Spectra Energy,spectraenergy.com
494,Navient,navient.com
495,Big Lots,biglots.com
496,Telephone & Data Systems,tdsinc.com
497,First American Financial,firstam.com
498,NVR,nvrinc.com
499,Cincinnati Financial,cinfin.com
500,Burlington Stores,burlingtonstores.com
