Company , Domain , SecurityGateway , Mail Domain , MX
3Com , 3com.com , ProofPoint , unknown , mxb-00010e01.gslb.pphosted.com
H&R Block , hrblock.com , Cisco , unknown , mx2.hc2079-83.iphmx.com
Trigon Healthcare , trigon.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Unified Western Grocers , uwgrocers.com ,  , _Office365 , uwgrocers-com.mail.protection.outlook.com
Payless Shoesource , paylessshoesource.com ,  , _Office365 , paylessshoesource-com.mail.protection.outlook.com
TruServ , truserv.com ,  , _Office365 , truserv-com.mail.protection.outlook.com
Pioneer-Standard Electronics , agilysys.com , Barracuda , unknown , d124834a.ess.barracudanetworks.com
Knight-Ridder , kri.com ,  ,  , MCFARLINS.COM.S7A1.PSMTP.com
Ace Hardware , acehardware.com ,  , _Office365 , acehardware-com.mail.protection.outlook.com
Fisher Scientific International , fischersci.com ,  , 1and1 , mx00.1and1.com
Hasbro , hasbro.com ,  , _Office365 , hasbro-com.mail.protection.outlook.com
KPMG Consulting , kpmgconsulting.com ,  , own-domain , mail.kpmgconsulting.com
Charter One Financial , charterone.com ,  , _Office365 , charterone-com.mail.protection.outlook.com
Thermo Electron , thermo.com , ProofPoint , unknown , mxa-002a2102.gslb.pphosted.com
Transocean Sedco Forex , deepwater.com , ProofPoint , unknown , mxa-00122101.gslb.pphosted.com
Solutia , solutia.com ,  , _Office365 , solutia-com.mail.protection.outlook.com
Pactiv , pactiv.com , ProofPoint , unknown , mxa-00006001.gslb.pphosted.com
Wackenhut , wackenhut.com ,  , Google , aspmx.l.google.com
Pentair , pentair.com , ProofPoint , unknown , mxa-00220d01.gslb.pphosted.com
Alliant Energy , alliantenergy.com ,  , own-domain , escan1.alliantenergy.com
Ruddick , ruddickcorp.com ,  , own-domain , ruddickcorp.com
Ryland Group , ryland.com ,  , _Office365 , ryland-com.mail.protection.outlook.com
IMC Global , mosaicco.com ,  , _Office365 , mosaicco-com.mail.protection.outlook.com
Spherion , spherion.com ,  , Google , ASPMX.L.GOOGLE.com
Beverly Enterprises , goldenliving.com ,  , own-domain , glimsa01.goldenliving.com
Marshall & Ilsley Corp. , micorp.com ,  ,  , bmfgmx01.bmofg.com
Guidant , guidant.com , Cisco , unknown , mx2.bsci.iphmx.com
Torchmark , torchmarkcorp.com , ProofPoint , unknown , mx0a-00218002.pphosted.com
Manor Care , hcr-manorcare.com ,  , _Office365 , hcrmanorcare-com0i.mail.protection.outlook.com
Triad Hospitals , triadhospitals.com ,  , own-domain , triadhospitals.com
PolyOne , polyone.com ,  , _Office365 , polyone-com.mail.protection.outlook.com
TECO Energy , tampaelectric.com ,  , own-domain , smtp2.tampaelectric.com
Pantry , thepantry.com ,  , _Office365 , thepantry-com.mail.protection.outlook.com
Nacco Industries , nacco.com ,  , Google , aspmx.l.google.com
Stanley Works , stanleyworks.com , ProofPoint , unknown , mxb-00254701.gslb.pphosted.com
